class_name,precision,recall,f1-score,support,score
agricultural,1.0,1.0,1.0,15.0,
airplane,1.0,0.9333333333333333,0.9655172413793104,15.0,
baseballdiamond,0.9375,1.0,0.967741935483871,15.0,
beach,1.0,1.0,1.0,15.0,
buildings,1.0,0.8666666666666667,0.9285714285714286,15.0,
chaparral,1.0,1.0,1.0,15.0,
denseresidential,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0,
forest,1.0,1.0,1.0,15.0,
freeway,1.0,0.9333333333333333,0.9655172413793104,15.0,
golfcourse,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0,
harbor,1.0,1.0,1.0,15.0,
intersection,1.0,1.0,1.0,15.0,
mediumresidential,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0,
mobilehomepark,0.8823529411764706,1.0,0.9375,15.0,
overpass,0.9375,1.0,0.967741935483871,15.0,
parkinglot,1.0,1.0,1.0,15.0,
river,0.9375,1.0,0.967741935483871,15.0,
runway,1.0,1.0,1.0,15.0,
sparseresidential,1.0,0.9333333333333333,0.9655172413793104,15.0,
storagetanks,1.0,1.0,1.0,15.0,
tenniscourt,0.9375,1.0,0.967741935483871,15.0,
accuracy,,,,,0.9714285714285714
macro avg,0.9727424303054555,0.9714285714285715,0.9712766326404496,315.0,
weighted avg,0.9727424303054556,0.9714285714285714,0.9712766326404495,315.0,
