class_name,precision,recall,f1-score,support,score
agricultural,1.0,1.0,1.0,15.0,
airplane,1.0,1.0,1.0,15.0,
baseballdiamond,1.0,1.0,1.0,15.0,
beach,1.0,1.0,1.0,15.0,
buildings,1.0,0.9333333333333333,0.9655172413793104,15.0,
chaparral,1.0,1.0,1.0,15.0,
denseresidential,1.0,0.9333333333333333,0.9655172413793104,15.0,
forest,1.0,1.0,1.0,15.0,
freeway,1.0,1.0,1.0,15.0,
golfcourse,1.0,1.0,1.0,15.0,
harbor,1.0,1.0,1.0,15.0,
intersection,1.0,0.9333333333333333,0.9655172413793104,15.0,
mediumresidential,0.8823529411764706,1.0,0.9375,15.0,
mobilehomepark,1.0,1.0,1.0,15.0,
overpass,1.0,1.0,1.0,15.0,
parkinglot,1.0,1.0,1.0,15.0,
river,1.0,1.0,1.0,15.0,
runway,1.0,1.0,1.0,15.0,
sparseresidential,1.0,0.9333333333333333,0.9655172413793104,15.0,
storagetanks,0.9375,1.0,0.967741935483871,15.0,
tenniscourt,0.9375,1.0,0.967741935483871,15.0,
accuracy,,,,,0.9873015873015873
macro avg,0.9884453781512605,0.9873015873015873,0.9873834684040469,315.0,
weighted avg,0.9884453781512605,0.9873015873015873,0.9873834684040467,315.0,
