class_name,precision,recall,f1-score,support,score
agricultural,0.9375,1.0,0.967741935483871,15.0,
airplane,1.0,1.0,1.0,15.0,
baseballdiamond,1.0,1.0,1.0,15.0,
beach,1.0,1.0,1.0,15.0,
buildings,1.0,0.8666666666666667,0.9285714285714286,15.0,
chaparral,1.0,0.9333333333333333,0.9655172413793104,15.0,
denseresidential,0.9375,1.0,0.967741935483871,15.0,
forest,1.0,1.0,1.0,15.0,
freeway,1.0,0.9333333333333333,0.9655172413793104,15.0,
golfcourse,1.0,0.9333333333333333,0.9655172413793104,15.0,
harbor,1.0,1.0,1.0,15.0,
intersection,1.0,1.0,1.0,15.0,
mediumresidential,1.0,0.9333333333333333,0.9655172413793104,15.0,
mobilehomepark,1.0,1.0,1.0,15.0,
overpass,0.9375,1.0,0.967741935483871,15.0,
parkinglot,1.0,1.0,1.0,15.0,
river,0.9375,1.0,0.967741935483871,15.0,
runway,1.0,1.0,1.0,15.0,
sparseresidential,1.0,0.9333333333333333,0.9655172413793104,15.0,
storagetanks,0.8823529411764706,1.0,0.9375,15.0,
tenniscourt,0.9375,1.0,0.967741935483871,15.0,
accuracy,,,,,0.9777777777777777
macro avg,0.9795168067226891,0.9777777777777779,0.9777317768041589,315.0,
weighted avg,0.9795168067226891,0.9777777777777777,0.9777317768041588,315.0,
